ORF,Name,Allele,Strain_ID,Plate,Row,Column
YOR202W,HIS3,,dma1,1,1,1
YOR202W,HIS3,,dma1,1,1,2
YOR202W,HIS3,,dma1,1,1,3
YOR202W,HIS3,,dma1,1,1,4
YOR202W,HIS3,,dma1,1,1,5
YOR202W,HIS3,,dma1,1,1,6
YOR202W,HIS3,,dma1,1,1,7
YOR202W,HIS3,,dma1,1,1,8
YOR202W,HIS3,,dma1,1,1,9
YOR202W,HIS3,,dma1,1,1,10
YOR202W,HIS3,,dma1,1,1,11
YOR202W,HIS3,,dma1,1,1,12
YOR202W,HIS3,,dma1,1,1,13
YOR202W,HIS3,,dma1,1,1,14
YOR202W,HIS3,,dma1,1,1,15
YOR202W,HIS3,,dma1,1,1,16
YOR202W,HIS3,,dma1,1,1,17
YOR202W,HIS3,,dma1,1,1,18
YOR202W,HIS3,,dma1,1,1,19
YOR202W,HIS3,,dma1,1,1,20
YOR202W,HIS3,,dma1,1,1,21
YOR202W,HIS3,,dma1,1,1,22
YOR202W,HIS3,,dma1,1,1,23
YOR202W,HIS3,,dma1,1,1,24
YOR202W,HIS3,,dma1,1,2,1
YBR030W,RKM3,,dma193,1,2,2
YBR138C,,,dma290,1,2,3
YBR028C,YPK3,,dma194,1,2,4
YBR137W,,,dma291,1,2,5
YBR027C,,,dma195,1,2,6
YBR134W,,,dma292,1,2,7
YBR026C,ETR1,,dma196,1,2,8
YBR132C,AGP2,,dma293,1,2,9
YBR025C,OLA1,,dma197,1,2,10
YBR131W,CCZ1,,dma294,1,2,11
YBR024W,SCO2,,dma198,1,2,12
YBR130C,SHE3,,dma295,1,2,13
YBR023C,CHS3,,dma199,1,2,14
YBR129C,OPY1,,dma296,1,2,15
YBR022W,POA1,,dma200,1,2,16
YBR128C,ATG14,,dma297,1,2,17
YBR020W,GAL1,,dma201,1,2,18
YBR126C,TPS1,tps1-supp1,dma298,1,2,19
YBR019C,GAL10,,dma202,1,2,20
YBR125C,PTC4,,dma299,1,2,21
YBR018C,GAL7,,dma203,1,2,22
YBR122C,MRPL36,,dma300,1,2,23
YOR202W,HIS3,,dma1,1,2,24
YOR202W,HIS3,,dma1,1,3,1
YAL017W,PSK1,,dma13,1,3,2
YBL032W,HEK2,,dma110,1,3,3
YAL015C,NTG1,,dma14,1,3,4
YBL031W,SHE1,,dma111,1,3,5
YAL014C,SYN8,,dma15,1,3,6
YBL029W,,,dma112,1,3,7
YAL013W,DEP1,,dma16,1,3,8
YBL028C,,,dma113,1,3,9
YAL011W,SWC3,,dma17,1,3,10
YBL027W,RPL19B,,dma114,1,3,11
YAL010C,MDM10,,dma18,1,3,12
YBL025W,RRN10,,dma115,1,3,13
YAL008W,FUN14,,dma19,1,3,14
YBL024W,NCL1,,dma116,1,3,15
YAL007C,ERP2,,dma20,1,3,16
YBL021C,HAP3,,dma117,1,3,17
YAL005C,SSA1,,dma21,1,3,18
YBL019W,APN2,,dma118,1,3,19
YAL004W,,,dma22,1,3,20
YBL017C,PEP1,,dma119,1,3,21
YAL002W,VPS8,,dma23,1,3,22
YBL016W,FUS3,,dma120,1,3,23
YOR202W,HIS3,,dma1,1,3,24
YOR202W,HIS3,,dma1,1,4,1
YBR045C,GIP1,,dma205,1,4,2
YBR156C,SLI15,,dma302,1,4,3
YBR044C,TCM62,,dma206,1,4,4
YBR151W,APD1,,dma303,1,4,5
YBR043C,QDR3,,dma207,1,4,6
YBR150C,TBS1,,dma304,1,4,7
YBR042C,CST26,,dma208,1,4,8
YBR149W,ARA1,,dma305,1,4,9
YBR041W,FAT1,,dma209,1,4,10
YBR148W,YSW1,,dma306,1,4,11
YBR040W,FIG1,,dma210,1,4,12
