ORF,Name,Allele,Strain_ID,Plate,Row,Column
YOR202W,HIS3,his3,tsa1,1,1,1
YOR202W,HIS3,his3,tsa97,1,1,2
YOR202W,HIS3,his3,tsa2,1,1,3
YOR202W,HIS3,his3,tsa98,1,1,4
YOR202W,HIS3,his3,tsa3,1,1,5
YOR202W,HIS3,his3,tsa99,1,1,6
YOR202W,HIS3,his3,tsa4,1,1,7
YOR202W,HIS3,his3,tsa100,1,1,8
YOR202W,HIS3,his3,tsa5,1,1,9
YOR202W,HIS3,his3,tsa101,1,1,10
YOR202W,HIS3,his3,tsa6,1,1,11
YOR202W,HIS3,his3,tsa102,1,1,12
YOR202W,HIS3,his3,tsa7,1,1,13
YOR202W,HIS3,his3,tsa103,1,1,14
YOR202W,HIS3,his3,tsa8,1,1,15
YOR202W,HIS3,his3,tsa104,1,1,16
YOR202W,HIS3,his3,tsa9,1,1,17
YOR202W,HIS3,his3,tsa105,1,1,18
YOR202W,HIS3,his3,tsa10,1,1,19
YOR202W,HIS3,his3,tsa106,1,1,20
YOR202W,HIS3,his3,tsa11,1,1,21
YOR202W,HIS3,his3,tsa107,1,1,22
YOR202W,HIS3,his3,tsa12,1,1,23
YOR202W,HIS3,his3,tsa108,1,1,24
YOR202W,HIS3,his3,tsa193,1,2,1
YER012W,PRE1,pre1-1,tsa289,1,2,2
YKR002W,PAP1,pap1-1,tsa194,1,2,3
YGR185C,TYS1,tys1-1,tsa290,1,2,4
YOR212W,STE4,ste4,tsa195,1,2,5
YHR186C,KOG1,kog1-1,tsa291,1,2,6
YLL031C,GPI13,gpi13-3-supp1,tsa196,1,2,7
YJL001W,PRE3,pre3-2,tsa292,1,2,8
YLL031C,GPI13,gpi13-5,tsa197,1,2,9
YMR117C,SPC24,spc24-9,tsa293,1,2,10
YLR026C,SED5,sed5-1,tsa198,1,2,11
YMR168C,CEP3,cep3-1,tsa294,1,2,12
YLR078C,BOS1,bos1-1,tsa199,1,2,13
YBR060C,ORC2,orc2-1,tsa295,1,2,14
YLR459W,GAB1,gab1-1,tsa200,1,2,15
YJR065C,ARP3,arp3-g302y,tsa296,1,2,16
YLR459W,GAB1,gab1-2,tsa201,1,2,17
YJR065C,ARP3,arp3-h161a,tsa297,1,2,18
YLR459W,GAB1,gab1-3,tsa202,1,2,19
YJR065C,ARP3,arp3-g15c,tsa298,1,2,20
YML130C,ERO1,ero1-1,tsa203,1,2,21
YJR065C,ARP3,arp3-f306g-supp1,tsa299,1,2,22
YOR149C,SMP3,smp3-2,tsa204,1,2,23
YOR202W,HIS3,his3,tsa300,1,2,24
YOR202W,HIS3,his3,tsa13,1,3,1
